"Twilight","Rise","Deleted","Marker","Inserted"
2019-05-16 20:36:18.315867,TRUE,FALSE,0,FALSE
2019-05-17 11:48:18.559987,FALSE,FALSE,0,FALSE
2019-05-17 20:26:10.891979,TRUE,FALSE,0,FALSE
2019-05-18 11:42:47.466715,FALSE,FALSE,0,FALSE
2019-05-18 20:30:42.783673,TRUE,FALSE,0,FALSE
2019-05-19 11:47:47.466715,FALSE,FALSE,0,FALSE
2019-05-19 20:25:56.632494,TRUE,FALSE,0,FALSE
2019-05-20 11:39:29.925371,FALSE,FALSE,0,FALSE
2019-05-20 20:25:19.944505,TRUE,FALSE,0,FALSE
2019-05-21 11:42:48.466715,FALSE,FALSE,0,FALSE
2019-05-21 20:23:33.074629,TRUE,FALSE,0,FALSE
2019-05-22 11:52:06.367506,FALSE,FALSE,0,FALSE
2019-05-22 20:34:44.440013,TRUE,FALSE,0,FALSE
2019-05-23 11:48:02.145621,FALSE,FALSE,0,FALSE
2019-05-23 20:24:07.384703,TRUE,FALSE,0,FALSE
2019-05-24 11:48:35.430083,FALSE,FALSE,0,FALSE
2019-05-24 20:28:23.828232,TRUE,FALSE,0,FALSE
2019-05-25 11:46:52.108021,FALSE,FALSE,0,FALSE
2019-05-25 20:29:07.384703,TRUE,FALSE,0,FALSE
2019-05-26 11:37:43.055495,FALSE,FALSE,0,FALSE
2019-05-26 20:26:11.891979,TRUE,FALSE,0,FALSE
2019-05-27 11:50:54.919395,FALSE,FALSE,0,FALSE
2019-05-27 20:15:57.632494,TRUE,FALSE,0,FALSE
2019-05-28 11:58:15.214498,FALSE,FALSE,0,FALSE
2019-05-28 20:18:34.074629,TRUE,FALSE,0,FALSE
2019-05-29 11:58:15.214498,FALSE,FALSE,0,FALSE
2019-05-29 19:36:12.891979,TRUE,FALSE,0,FALSE
2019-05-30 11:54:20.192166,FALSE,FALSE,0,FALSE
2019-05-30 17:46:20.315867,TRUE,FALSE,0,FALSE
2019-07-07 16:47:13.367506,FALSE,FALSE,0,FALSE
2019-07-07 20:48:05.686143,TRUE,FALSE,0,FALSE
2019-07-08 14:50:12.313857,FALSE,FALSE,0,FALSE
2019-07-08 21:36:26.315867,TRUE,FALSE,0,FALSE
2019-07-09 14:37:50.055495,FALSE,FALSE,0,FALSE
2019-07-09 21:47:37.768346,TRUE,FALSE,0,FALSE
2019-07-10 14:28:26.559987,FALSE,FALSE,0,FALSE
2019-07-10 22:11:04.632494,TRUE,FALSE,0,FALSE
2019-07-11 14:35:29.692795,FALSE,FALSE,0,FALSE
2019-07-11 22:03:05.686143,TRUE,FALSE,0,FALSE
2019-07-12 14:36:59.108021,FALSE,FALSE,0,FALSE
